Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
CAPGRID SOLUTIONS PVT LTD,GURUGRAM,NO,"It is an artificial intelligence-powered platform. Its platform houses detailed capability intelligence of global supply sources from manufacturing and sourcing destinations. It currently serves a spectrum of industries across the automotive industry, agricultural equipment, earthmoving equipment, aerospace, oil and gas, consumer durables and electric vehicles.",992.05 (2024),-256.32,https://www.capgrid.in/
CAPITAL AUTOTECH EXPORTS PVT LTD,GURGAON,NO,SPARE PARTS,,,https://www.capitalautotech.com/
CAR COP PRIVATE LIMITED,,,,,,
CAR SEWA,,,,,,
CARMATE INDUSTRIES INDIA PRIVATE LIMITED,,,,,,
CARRIER WHEELS PRIVATE LIMITED,UTTAR PRADESH,NO,"automotive, agricultural, construction, earth moving and off-road equipment.",1733.41 (2023),214.54 (2023),http://www.carrierwheels.com/
CASTLE ENTERPRISES,OVERSEAS,,,,,
CELESTIAL INDUSTRIES PRIVATE LIMITED,DELHI,NO,"nickel chrome plated plastic components, front grill, garnish, tail lamps, head lamps, side indicators, warning triangles, fog lamps, wheel covers, rear view mirrors, emblems, door handles, engine underhood parts, faucets, door trims, radiator grills, tanks, engine covers, telecom and electrical, electrical meter housing parts, precision plastic injection molded component. It caters to industries such as automotive, electrical, electronics and home appliances. ",323.43 (2023),45.14 (2023),http://www.celestialinternationalgroup.com/
CENTURY EXTRUSIONS LTD.,KOLKATA,YES,"actuator body, antenna tubes, antenna tubes, cable supports, channels, equal angles (inch series), equal angles (metric series), ferrules etc. In architectural applications, it offers corner section, curtain blinds and drapery, curtain channels, curtain walling, display systems, door bolts and stays, door bottom etc. In transport and structural, it offers fluted strips, garnish rails, hexagonal bars (inch series), hexagonal bars (metric series), hexagonal tubes, i-sections, etc. In hardware for power, it offers aluminum fabricated components, bolted type tension clamps, compression type dead end clamps, conductor accessories, cross arms, danger notice plates, earth wire hardware accessories.",3751 (2024),232.80 (2024),https://www.centuryextrusions.com/
CGDI COMPANY,,,,,,
"CHENGFENGCHIHHUI CO., LTD",,,,,,
CHHEDA ELECTRICALS AND ELECTRONICS PRIVATE LIMITED,PUNE,NO,"hybrid battery, solar lamp, starter relay, flasher, ignition module, ignition coil, flywheel magnetos, regulator and rectifier, capacitor discharge ignition(c d i) etc.",2253.38 (2023),257.01 (2023),https://masterignition.com/New/
CHOUDHARY ENTERPRISES,,,,,,
Cl CARGO INTERNATIONAL PRIVATE LIMITED,,,,,,
CILICANT PRIVATE LIMITED,,,,,,
CITY BROTHERS,,,,,,
CKR ENGINEERING PVT LTD,GUJARAT,NO,"spare parts, hydraulic parts, marine spare parts, textile spare parts, tractor spare parts, and tractor engine spare parts",,,https://ckrengg.com/company-profile.html
"CLARTON HORN, MEXICO",,,,,,
"CLARTON HORN, SINGALOUSTIK",,,,,,
"CLARTON HORN, SPAIN",,,,,,
CLEARBOT TECHNOLOGIES.,,,,,,
COATING DADDY INDIA PVT LTD,,,,,,
COMCO INDIA,,,,,,
COMMERCIAL SYNDICATE,INDIA,NO,AUTOMOTIVE RADIATOR FANS,,,https://commercialsyndicate.in/about-us/
